類・品目,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,持家の帰属家賃及び生鮮食品を除く総合,生鮮食品及びエネルギーを除く総合,食料（酒類を除く）及びエネルギーを除く総合,食料,生鮮食品,生鮮食品を除く食料,穀類,魚介類,生鮮魚介（再掲）,肉類,乳卵類,野菜・海藻,生鮮野菜（再掲）,果物,生鮮果物（再掲）,油脂・調味料,菓子類,調理食品,飲料,酒類,外食,住居,持家の帰属家賃を除く住居,家賃,持家の帰属家賃を除く家賃,設備修繕・維持,光熱・水道,電気代,ガス代,他の光熱,上下水道料,家具・家事用品,家庭用耐久財,室内装備品,寝具類,家事雑貨,家事用消耗品,家事サービス,被服及び履物,衣料,和服,洋服,シャツ・セーター・下着類,シャツ・セーター類,下着類,履物類,他の被服,被服関連サービス,保健医療,医薬品・健康保持用摂取品,保健医療用品・器具,保健医療サービス,交通・通信,交通,自動車等関係費,通信,教育,授業料等,教科書・学習参考教材,補習教育,教養娯楽,教養娯楽用耐久財,教養娯楽用品,書籍・他の印刷物,教養娯楽サービス,諸雑費,理美容サービス,理美容用品,身の回り用品,たばこ,他の諸雑費,エネルギー,教育関係費,教養娯楽関係費,情報通信関係費
197301,1.0,0.4,1.0,0.4,0.4,0.6,1.7,7.6,0.3,0.2,5.2,7.5,1.0,-4.7,6.9,11.6,0.9,0.9,0.2,0.3,3.3,0.2,0.1,1.3,0.6,0.8,0.5,0.4,1.2,0.0,0.0,0.1,0.0,,0.4,0.4,-0.4,0.5,0.5,0.0,1.6,0.7,-0.4,0.6,-0.8,2.1,3.1,1.2,1.3,0.7,0.9,0.1,0.3,0.1,0.0,0.6,1.4,0.1,0.0,0.0,0.0,0.0,,0.6,0.1,1.8,-1.1,1.1,0.6,1.7,0.0,0.9,0.0,0.0,0.1,,,
197302,0.8,1.2,0.8,1.2,1.0,0.3,1.2,-2.0,2.0,0.2,-3.3,-6.3,3.4,2.3,3.9,-1.8,6.8,7.2,2.8,1.2,1.0,0.6,0.0,0.9,1.1,1.2,0.6,0.7,1.9,0.3,0.0,0.4,0.8,,0.6,0.6,0.9,1.6,1.2,0.1,0.2,0.3,-1.0,1.9,-2.2,0.2,-0.6,1.0,2.0,1.0,1.1,0.1,0.3,0.2,0.0,1.4,0.9,2.4,0.1,0.0,0.1,0.0,,0.5,0.0,1.7,0.5,0.3,-0.4,1.1,-5.3,1.7,0.0,0.0,1.6,,,
197303,2.4,1.6,2.6,1.8,1.8,1.5,3.9,10.6,2.4,0.3,2.6,3.1,6.8,7.7,7.3,12.7,20.6,21.7,2.8,0.9,3.1,0.1,0.0,1.6,1.2,1.9,0.6,0.7,3.4,0.3,0.0,0.4,0.7,,1.3,0.7,2.6,3.6,1.0,0.6,-0.1,4.6,4.4,2.4,5.3,2.2,2.3,2.1,2.7,2.2,2.1,0.1,0.3,0.0,0.0,0.8,1.0,0.7,0.6,2.4,0.0,12.1,,0.6,0.2,3.2,-0.5,0.2,0.8,1.6,0.0,1.7,0.0,0.0,0.6,,,
197304,1.8,1.6,1.9,1.6,1.6,2.0,1.7,5.2,0.6,0.4,1.7,1.9,1.7,-3.0,4.2,7.0,7.2,7.5,1.1,1.0,3.8,0.1,-0.1,2.1,1.3,2.4,0.8,0.9,4.2,0.9,0.0,1.5,2.3,,2.4,2.9,1.0,4.2,1.4,0.7,4.3,3.8,3.5,3.8,3.4,1.9,1.7,2.0,2.3,2.2,2.5,0.0,0.2,0.0,0.0,0.7,0.9,0.9,0.0,8.0,10.3,0.0,,1.0,-0.2,-0.7,0.2,2.6,0.8,1.9,0.0,1.5,0.0,0.4,0.9,,,
197305,1.6,1.4,1.7,1.5,1.3,1.7,1.6,6.0,0.3,0.4,1.7,2.0,0.8,-4.5,9.5,15.8,-2.4,-2.5,0.5,0.7,1.4,0.5,0.2,1.1,1.2,1.2,0.9,1.0,1.3,0.5,0.0,0.7,0.5,,0.8,0.4,1.1,1.5,1.4,0.4,0.5,6.4,13.1,3.0,17.3,0.5,0.3,0.7,1.5,1.6,1.4,0.1,0.1,0.0,0.0,0.4,0.3,0.5,0.1,0.6,0.8,0.0,,1.0,0.9,4.3,0.0,0.1,0.5,0.9,0.0,1.6,0.0,0.0,0.3,,,
197306,0.2,1.1,0.2,1.1,1.2,1.5,-1.3,-9.5,1.1,0.5,-2.5,-5.5,0.6,-0.7,-14.7,-23.6,9.4,9.8,0.3,0.9,2.4,0.5,6.3,1.3,1.1,1.0,1.1,0.8,1.2,0.0,-0.4,-0.1,0.5,,0.8,0.7,0.2,0.9,2.1,0.4,0.2,1.6,2.5,7.6,0.7,0.4,0.9,-0.2,0.8,1.0,1.7,0.1,0.3,0.1,0.0,0.7,0.2,1.5,0.5,0.2,0.2,0.0,,2.7,0.1,-5.2,0.6,8.3,0.7,1.8,0.0,0.9,0.0,0.0,0.0,,,
197307,0.8,0.6,0.7,0.6,0.9,0.9,0.7,0.5,1.0,0.4,2.6,2.5,1.7,-0.2,-3.3,-6.4,6.3,6.4,0.6,0.0,0.4,0.2,0.3,0.7,1.3,0.8,1.5,0.9,0.8,0.3,0.0,0.3,1.0,,0.5,0.3,1.0,0.6,1.1,0.1,0.8,0.2,0.1,1.5,-0.5,0.7,-0.6,1.9,0.7,0.8,0.5,0.1,0.5,0.3,0.0,0.3,0.4,0.2,0.4,0.0,0.0,0.0,,2.2,0.2,0.1,10.8,0.1,0.9,1.7,0.0,1.3,0.0,19.4,0.4,,,
197308,0.9,0.5,0.9,0.4,0.5,0.3,1.9,6.0,0.6,0.3,5.4,7.9,1.4,2.0,1.8,2.6,7.2,7.5,0.7,0.6,0.1,0.4,0.0,0.5,0.8,1.1,0.5,0.5,1.9,0.5,0.0,0.6,1.3,,0.7,0.0,1.5,1.5,1.6,0.2,0.2,-1.2,-3.3,4.7,-6.6,0.0,-2.3,2.0,0.6,1.5,0.9,0.2,0.5,0.2,0.0,0.2,0.3,0.3,0.2,0.0,0.0,0.0,,1.2,1.4,3.0,2.1,0.1,0.8,1.5,0.0,1.3,0.0,0.0,0.4,,,
197309,2.7,2.0,2.9,2.2,2.0,1.8,4.2,12.1,2.2,0.7,-1.3,-3.7,3.0,10.1,22.6,40.0,3.1,3.3,0.6,2.1,2.9,0.2,0.1,1.0,1.3,2.2,0.5,0.8,3.7,0.4,0.0,0.3,1.5,,2.7,3.1,-0.5,4.7,2.2,2.9,0.7,5.8,5.2,4.1,5.7,14.0,20.8,8.5,3.5,2.6,2.2,0.1,0.5,0.1,0.0,0.3,0.1,0.8,0.0,0.2,0.3,0.0,,1.3,0.8,0.7,4.3,0.2,1.0,1.1,0.0,3.8,0.0,0.5,0.4,,,
197310,0.4,1.2,0.4,1.3,1.1,0.9,-0.5,-7.9,1.5,2.0,0.9,-0.4,1.9,-2.0,-7.6,-14.1,-7.9,-8.1,2.5,2.2,0.7,0.6,2.0,2.1,0.7,1.2,0.5,0.5,1.8,2.4,0.2,4.5,4.4,,3.2,4.2,2.0,2.0,2.0,4.0,0.5,3.6,3.8,1.7,4.7,5.6,8.2,3.2,2.6,1.7,2.5,-11.3,0.2,0.3,-16.4,0.4,0.0,1.0,0.0,0.0,0.0,0.0,,0.2,0.7,0.9,-0.1,0.0,0.7,2.0,-0.1,0.8,0.0,0.0,2.3,,,
197311,0.9,1.6,1.0,1.8,1.6,1.2,0.2,-7.4,2.2,2.2,4.9,6.2,0.7,-1.7,-4.2,-9.5,-22.1,-22.9,6.1,2.2,2.4,0.9,1.7,3.6,0.6,1.7,-0.1,0.3,3.3,2.0,0.0,1.7,6.5,,5.4,2.8,0.0,1.7,2.7,21.9,0.5,1.3,1.0,-0.7,1.8,1.4,0.4,2.4,3.3,1.4,2.4,0.2,0.4,1.1,0.0,1.8,0.2,4.6,0.0,0.0,0.0,0.0,,0.7,0.8,3.0,-0.3,0.2,1.1,2.4,0.5,1.2,0.0,0.0,3.6,,,
197312,3.4,3.1,3.6,3.3,2.8,2.3,4.1,5.9,3.7,2.1,6.2,7.8,1.1,8.6,7.5,10.7,-5.1,-5.4,8.7,5.5,4.9,3.6,0.0,2.9,2.7,5.6,0.4,0.4,11.0,7.0,0.0,16.6,8.9,,5.6,3.3,4.1,3.3,5.1,13.5,0.3,2.0,1.6,0.9,1.8,2.0,1.8,2.1,4.6,1.8,3.1,0.4,0.2,5.0,0.0,3.6,0.1,9.0,0.0,0.0,0.0,0.0,,2.6,2.0,8.6,1.5,0.6,2.7,6.2,2.7,1.4,0.0,0.0,10.2,,,
197401,4.1,3.3,4.4,3.5,3.2,2.2,7.2,14.9,5.4,7.2,6.6,7.8,1.2,10.7,18.0,27.7,6.0,6.1,6.2,6.9,6.3,6.0,0.3,3.8,1.3,3.0,0.6,0.5,5.4,1.3,1.0,-1.2,6.0,,6.9,6.3,6.1,4.2,7.6,10.5,1.1,1.5,-0.7,1.3,-1.4,2.7,0.4,4.8,6.3,2.8,5.0,1.0,0.9,10.4,0.0,1.3,0.6,2.7,0.0,1.6,0.0,7.7,,2.1,4.3,3.4,-0.2,1.9,2.7,4.3,3.6,3.5,0.0,0.0,1.6,,,
197402,3.3,2.7,3.5,2.9,2.9,2.6,4.5,9.2,3.1,2.0,1.4,-0.8,3.3,1.8,13.2,19.3,9.0,9.2,1.6,8.0,7.5,3.5,0.6,2.5,1.1,2.1,0.4,0.4,3.6,-0.4,0.0,-0.6,-0.9,,3.8,8.1,7.1,3.7,8.6,-8.2,1.2,0.4,-2.5,-0.3,-3.5,1.8,-0.8,4.1,4.2,3.4,2.7,12.8,0.4,9.9,18.7,3.2,4.5,3.5,0.0,0.0,0.0,0.0,,4.3,5.3,9.0,6.2,0.7,2.0,2.7,2.3,3.6,0.0,0.0,-0.5,,,
197403,0.6,0.8,0.7,0.8,0.9,0.9,0.3,-1.6,0.9,0.1,-0.2,-1.5,1.1,-2.8,-5.1,-8.2,13.5,13.9,-0.5,4.6,4.2,1.2,0.0,1.2,0.8,1.0,0.7,0.7,1.2,-0.1,0.0,0.0,-0.4,,1.9,2.7,1.6,0.9,2.6,0.9,0.7,1.4,1.2,-0.2,1.9,1.1,1.2,1.1,2.4,1.7,1.4,0.3,1.0,1.8,0.0,0.4,0.3,0.6,0.0,0.0,0.0,0.0,,0.9,1.0,1.9,0.6,0.7,1.5,2.5,1.0,2.3,0.0,0.0,0.0,,,
197404,2.6,1.8,2.7,1.9,1.6,1.9,3.2,11.0,0.9,0.1,5.1,7.8,1.5,0.9,6.0,9.3,19.3,20.1,0.2,2.6,1.0,0.9,0.0,0.9,1.1,1.6,0.6,0.7,2.5,0.2,0.0,0.1,0.0,,3.7,6.8,2.6,0.8,2.1,-0.4,9.8,0.8,0.9,0.5,1.0,-0.5,-2.7,1.4,1.8,2.0,1.9,0.2,0.3,0.8,0.0,3.7,0.5,8.2,0.0,13.5,17.2,0.0,,2.3,0.7,-2.4,0.9,6.2,1.4,2.0,0.6,2.7,0.0,2.7,5.0,,,
197405,0.3,1.6,0.3,1.7,1.5,1.9,-1.6,-11.5,1.6,0.5,-1.1,-2.8,1.4,-0.9,-15.8,-25.1,-0.8,-0.8,0.5,2.5,1.3,1.9,11.1,1.2,0.9,1.3,0.6,0.7,1.9,0.3,0.0,0.2,0.6,,-0.6,-2.8,0.7,0.8,1.1,0.1,3.2,5.3,12.0,2.5,16.1,0.3,-3.8,3.7,0.8,1.3,0.9,0.1,0.3,0.6,0.0,0.4,0.7,0.3,0.0,0.8,1.0,0.0,,0.1,0.3,-0.7,-0.4,0.5,1.8,4.2,1.0,1.3,0.0,0.0,0.2,,,
197406,0.5,1.2,0.5,1.2,0.7,0.8,-1.0,-6.5,0.4,0.3,-1.0,-2.1,0.0,-3.3,-9.9,-17.6,2.1,2.1,1.3,2.0,0.5,1.0,1.2,0.8,0.9,1.0,0.9,0.7,1.1,13.1,22.4,1.3,22.4,,0.3,0.7,0.2,0.1,0.5,-0.6,0.3,2.5,5.3,4.2,5.6,0.4,-0.2,0.8,0.5,0.8,1.2,0.1,0.3,0.7,0.0,0.3,0.0,0.7,0.0,0.2,0.2,0.0,,0.1,0.3,-0.5,0.3,0.1,1.0,1.7,0.5,1.2,0.0,0.4,10.5,,,
197407,2.1,1.3,2.0,1.3,1.4,1.6,2.9,10.0,1.0,0.3,5.2,8.6,0.9,4.6,10.2,19.1,1.7,1.7,1.5,0.8,3.7,0.3,1.1,0.6,1.0,0.8,1.0,0.7,0.9,0.8,0.0,0.3,2.9,,0.5,0.4,1.3,0.1,1.2,-0.7,2.7,-0.4,-1.0,0.5,-1.6,-0.1,-0.4,0.2,0.4,0.7,1.2,0.5,0.3,5.3,0.0,0.3,0.5,0.1,0.0,0.0,0.0,0.0,,6.4,1.3,2.3,26.6,0.5,1.6,3.7,0.4,1.3,0.0,0.0,0.6,,,
197408,1.0,0.4,1.0,0.4,0.3,-0.1,2.7,7.9,1.3,0.3,3.2,4.9,1.3,5.0,2.9,4.5,16.5,17.0,3.5,0.5,0.8,0.3,0.0,1.2,0.9,1.0,0.8,0.7,1.1,0.4,0.0,0.5,1.0,,0.4,0.3,0.4,0.1,0.8,0.8,1.0,-4.6,-8.7,-0.5,-11.8,-3.1,-5.3,-1.4,0.3,0.5,0.7,0.4,0.3,3.9,0.0,1.6,4.3,-0.1,0.0,0.0,0.0,0.0,,1.4,0.1,1.4,3.9,0.3,1.1,2.5,0.2,0.8,0.0,0.0,0.3,,,
197409,1.5,1.3,1.6,1.3,1.3,1.0,2.0,2.5,1.7,0.4,-1.5,-3.3,0.8,11.6,13.1,22.1,-11.8,-12.1,1.6,1.1,0.8,0.7,0.0,1.4,0.6,0.8,0.4,0.5,1.1,5.3,0.0,16.3,2.0,,2.4,4.6,1.2,0.2,1.2,0.8,0.8,2.4,1.7,-1.6,3.1,7.1,17.3,-0.5,1.0,1.0,1.2,0.7,2.1,2.4,0.0,0.7,1.5,0.2,0.0,0.1,0.1,0.0,,0.1,0.3,-0.5,0.0,0.5,0.9,1.9,0.5,0.9,0.0,-0.2,4.2,,,
197410,2.2,3.2,2.3,3.4,3.3,2.4,1.9,-7.8,5.0,19.6,-1.4,-3.3,0.6,-1.1,-5.5,-9.7,-10.7,-11.1,2.9,1.2,1.0,1.7,0.0,4.6,0.8,0.8,0.9,0.7,0.7,1.3,0.0,1.9,2.4,,1.5,2.7,0.0,0.6,0.9,0.5,1.7,2.2,2.5,0.0,3.6,3.3,6.9,0.2,0.8,0.4,1.6,10.9,1.2,1.1,16.0,4.8,10.2,0.5,2.6,6.7,0.0,35.7,,1.7,0.6,6.6,0.1,1.0,1.1,2.4,0.2,1.0,0.0,0.0,1.2,,,
197411,0.7,1.2,0.7,1.2,1.0,0.6,0.5,-3.8,1.4,0.8,4.0,5.5,0.4,1.7,-4.1,-7.9,-12.5,-13.0,5.5,1.5,1.5,1.0,0.0,2.7,1.2,0.6,1.4,0.9,0.4,2.7,0.0,6.5,1.9,,0.2,0.3,0.4,0.2,0.6,-0.2,0.8,0.1,-0.1,-0.5,0.1,-0.1,-0.2,0.1,0.6,0.4,1.6,0.2,0.3,0.9,0.0,3.1,3.9,3.5,0.0,0.1,0.1,0.0,,-0.1,0.0,-1.4,0.0,0.4,1.0,2.5,0.3,0.6,0.0,0.0,4.0,,,
197412,0.4,0.5,0.4,0.5,0.7,0.3,0.6,-1.8,1.3,0.1,1.9,2.2,1.0,1.9,-2.9,-5.9,-3.2,-3.4,1.7,1.2,1.5,1.3,0.0,2.1,0.6,0.7,0.6,0.6,0.7,0.0,0.0,0.1,0.0,,0.1,0.0,0.7,0.2,0.7,-0.7,0.2,-0.2,-0.8,-1.0,-0.8,-0.1,-0.1,-0.1,0.4,0.4,1.0,0.1,0.2,0.3,0.0,0.5,1.0,0.2,0.0,0.0,0.0,0.0,,0.4,0.1,-0.3,1.1,0.3,1.0,2.2,0.2,0.9,0.0,0.0,0.1,,,
197501,0.5,0.5,0.5,0.5,0.2,0.3,1.0,9.1,0.0,0.0,3.0,4.2,0.7,-6.1,3.0,5.1,3.0,3.1,0.4,1.6,0.9,1.2,0.0,1.5,0.7,0.5,0.7,0.7,0.4,-1.3,-3.2,-0.8,-0.2,,-0.1,-0.3,0.2,0.1,0.4,-1.0,1.6,-1.2,-2.6,0.2,-3.6,-1.1,-2.2,0.1,0.5,0.3,1.1,0.3,1.0,0.2,0.0,0.9,1.7,0.2,0.0,0.0,0.0,0.0,,1.0,1.3,2.9,-0.4,0.9,0.8,1.0,0.2,1.8,0.0,0.0,-1.2,,,
197502,0.1,0.2,0.0,0.2,0.2,-0.1,0.4,-0.4,0.7,0.0,-1.6,-3.1,0.6,2.7,0.5,0.6,3.0,3.1,0.2,0.4,0.2,0.8,0.0,0.4,0.6,0.5,0.6,0.6,0.2,0.1,0.0,0.5,-0.8,,-0.4,0.1,0.1,-0.8,0.0,-1.7,0.4,-1.3,-2.6,-0.3,-3.2,-1.5,-2.8,-0.1,0.2,0.0,0.8,0.1,0.2,0.5,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,,0.1,0.0,0.2,-0.1,0.2,0.5,0.5,0.6,1.1,0.0,0.0,0.1,0.1,,
197503,0.9,0.5,1.0,0.5,0.6,0.3,1.9,4.3,1.2,0.2,-0.8,-1.5,1.6,9.0,2.7,4.5,12.8,13.3,0.1,0.4,1.9,1.0,0.0,0.4,0.6,0.5,0.6,0.7,0.4,0.3,0.0,1.0,-0.4,,-0.1,-0.2,0.3,-0.6,0.1,-0.1,0.5,0.5,1.0,1.0,1.0,0.2,0.3,-0.1,0.1,0.5,0.3,0.2,0.9,0.0,0.0,0.1,-0.1,0.3,0.0,0.0,0.0,0.0,,0.4,0.0,1.7,0.1,0.2,0.5,1.0,0.2,0.9,0.0,0.0,0.5,0.0,,
197504,1.7,1.8,1.8,1.8,1.9,2.8,0.4,1.4,0.2,0.3,1.5,2.2,0.6,-4.9,-0.1,-0.4,2.6,2.6,0.0,0.9,-0.6,1.0,0.2,0.6,1.2,1.0,1.1,1.2,0.8,0.4,0.0,0.2,-0.2,,0.2,0.1,-0.8,-0.5,-0.1,0.5,4.0,1.4,2.2,0.4,2.8,0.9,2.0,-0.1,0.3,0.3,0.7,0.6,4.2,0.4,-0.5,1.1,0.5,1.8,0.1,17.2,24.5,0.0,,5.7,0.0,1.9,0.0,13.2,0.4,1.3,0.2,0.4,0.0,0.8,0.2,12.0,,
197505,0.5,0.4,0.3,0.4,0.5,0.8,0.1,1.1,-0.3,0.0,-0.5,-1.3,0.6,-7.5,4.1,6.9,-2.5,-2.6,0.5,0.3,0.3,0.6,0.6,0.4,1.3,0.8,1.4,1.2,0.4,0.0,0.0,0.2,-0.2,,-0.1,0.0,-0.6,-0.1,-0.4,0.3,1.3,2.6,4.7,1.4,5.5,2.0,4.1,-0.2,0.1,0.3,0.5,0.4,1.1,0.2,0.3,0.1,0.0,0.2,0.0,0.0,0.0,0.0,,-0.7,-0.3,-3.6,0.1,0.0,0.9,2.2,1.3,0.2,0.0,0.0,0.0,0.0,,
197506,-0.1,0.6,-0.1,0.5,0.4,0.4,-0.8,-6.1,0.5,0.0,0.0,-1.0,2.2,-0.7,-10.3,-16.7,0.9,0.9,1.1,0.3,0.3,0.6,1.5,0.5,1.0,0.9,1.1,1.1,0.5,0.2,0.0,0.1,0.2,,-0.1,-0.2,-0.6,-0.2,-0.1,-0.1,1.7,1.2,2.2,2.4,2.2,1.0,1.9,0.0,0.0,0.4,0.2,0.7,2.5,1.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,,-0.2,0.1,-2.5,0.2,0.5,0.6,1.9,0.1,0.5,0.0,0.0,0.0,0.1,,
197507,0.3,0.5,0.2,0.4,0.5,0.3,0.3,-1.7,1.0,0.0,1.5,3.0,3.9,-0.3,-2.4,-4.4,-5.2,-5.3,0.0,1.4,1.8,0.3,0.2,0.3,1.1,0.5,0.8,0.7,0.3,0.5,0.0,0.1,3.4,,-0.1,0.1,-0.3,-0.2,-0.1,-0.9,1.0,-0.2,-0.1,1.2,-0.5,-0.9,-1.7,-0.1,0.0,0.2,0.3,0.6,1.0,0.3,0.5,0.2,0.3,0.2,0.0,0.0,0.0,0.0,,0.5,-0.2,-1.0,-0.3,1.9,0.2,0.6,0.3,0.1,0.0,0.1,0.3,0.0,,
197508,-0.2,-0.4,-0.2,-0.5,-0.3,-0.6,0.4,1.3,0.3,0.0,3.2,5.5,1.9,-0.3,3.9,6.8,-11.2,-11.6,-2.0,0.6,1.3,0.3,1.7,0.7,0.4,0.3,0.4,0.5,0.2,1.0,0.0,0.1,2.0,,-0.3,-0.5,-0.1,0.1,-0.1,-0.3,1.2,-5.1,-9.3,0.2,-11.8,-4.2,-7.6,-0.2,-0.1,-0.2,0.3,0.2,0.8,0.0,0.0,0.1,0.4,0.0,0.1,0.0,0.0,0.0,,0.8,-0.3,3.5,0.4,0.1,0.3,1.0,0.2,-0.1,0.0,0.0,0.1,0.0,,
197509,2.1,1.7,2.2,1.9,1.8,1.4,3.5,7.5,2.5,9.3,0.1,0.2,1.4,5.4,7.2,12.3,14.1,14.6,0.9,0.7,0.3,0.2,2.0,1.2,0.5,0.6,0.5,0.5,0.7,1.2,0.0,0.0,1.7,,-1.6,-4.2,0.7,0.4,-0.4,0.2,0.3,6.7,12.2,4.5,14.6,5.0,9.8,-0.1,0.6,0.4,0.6,0.2,0.9,0.2,0.1,0.3,0.8,0.0,0.0,0.0,0.0,0.0,,-0.5,0.0,-2.3,0.0,0.1,0.3,0.5,0.1,0.4,0.0,0.1,0.1,0.2,,
197510,1.7,0.6,1.7,0.6,0.7,0.8,3.2,12.4,0.8,1.1,-0.6,-1.0,0.9,-0.1,15.5,25.4,16.4,17.0,0.8,0.4,0.2,0.5,0.9,0.7,0.5,0.4,0.6,0.5,0.3,0.6,0.0,0.2,1.8,,1.8,4.3,0.0,0.3,-0.1,0.0,0.8,1.7,2.1,1.0,2.4,1.6,2.3,0.7,0.4,2.3,0.6,0.2,0.3,0.1,0.1,0.1,0.6,0.0,0.0,0.0,0.0,0.0,,1.2,-0.2,4.1,0.1,0.7,0.6,0.8,1.3,0.7,0.0,0.0,0.2,0.0,,
197511,-0.5,0.3,-0.5,0.3,0.4,0.3,-1.8,-8.4,0.1,0.1,2.5,3.7,0.9,0.3,-6.8,-10.5,-21.5,-22.2,-0.2,0.2,0.3,0.4,0.3,0.6,0.8,0.6,0.7,0.8,0.3,0.6,0.0,0.3,1.2,,-0.2,-0.3,0.3,0.3,-0.2,-0.1,1.1,0.5,0.8,0.4,0.8,0.3,0.3,0.3,0.2,0.5,0.5,0.1,0.3,0.2,0.1,0.9,0.5,1.4,0.0,0.0,0.0,0.0,,-0.2,0.1,-1.2,-0.3,0.4,0.4,0.9,0.1,0.5,0.0,0.0,0.2,0.0,,
197512,0.0,0.4,-0.1,0.4,0.4,0.5,-0.7,-4.1,0.4,0.0,1.3,1.8,0.9,-0.9,-6.0,-9.4,-6.2,-6.4,-1.1,0.1,0.5,0.1,0.1,0.8,0.5,0.4,0.5,0.6,0.3,0.4,0.0,0.0,1.2,,0.0,-0.3,0.2,0.0,0.0,0.0,0.2,0.2,0.1,0.0,0.1,-0.1,-0.1,-0.1,0.6,0.3,0.5,0.1,0.1,0.2,0.0,1.5,4.5,0.6,0.0,0.0,0.0,0.0,,0.5,-0.1,-0.5,1.6,0.6,0.4,1.6,0.1,0.1,0.0,0.0,0.5,0.1,,
197601,1.8,1.2,2.0,1.2,1.2,1.6,2.5,10.6,0.5,-0.1,2.7,4.3,0.7,-3.1,15.4,25.1,0.5,0.5,-0.1,0.4,0.7,0.5,5.1,1.5,0.8,0.9,0.8,0.6,1.1,0.5,0.0,0.1,0.8,,-0.2,-0.3,0.4,-0.4,0.1,-0.3,0.8,-1.7,-3.6,-0.4,-4.6,-0.8,-1.4,0.1,0.5,0.1,0.6,0.6,0.2,0.8,0.7,1.9,4.9,1.2,0.0,0.5,0.0,0.0,,0.8,-0.1,3.3,-0.4,0.4,14.7,1.4,0.2,0.8,49.0,0.0,0.6,0.5,,
197602,0.7,0.6,0.6,0.5,0.5,0.3,1.3,3.0,1.0,0.0,-2.6,-4.3,0.7,4.4,4.5,6.6,8.9,9.3,0.2,0.3,0.8,1.8,0.1,0.8,1.1,1.0,1.1,1.0,1.0,0.2,0.0,0.0,0.1,,-0.1,-0.1,0.2,-0.5,0.3,-0.1,0.3,-1.7,-3.4,-0.4,-4.2,-1.1,-2.0,0.0,-0.1,0.2,0.5,0.1,0.1,0.4,0.0,1.9,0.5,0.3,7.6,0.0,0.0,0.0,0.0,-0.2,0.0,-0.9,0.0,0.1,0.2,0.5,-0.1,0.4,0.0,0.0,0.1,0.1,,
197603,0.4,0.5,0.4,0.5,0.6,0.6,0.2,-1.3,0.6,1.4,-0.4,-0.6,0.5,2.7,-5.8,-8.7,9.5,9.8,0.0,0.4,0.4,1.1,0.1,0.5,0.8,1.0,0.7,0.8,1.2,0.1,0.0,0.1,0.1,,0.0,0.0,-0.1,-0.2,0.0,-0.1,0.1,1.4,2.5,0.4,3.2,0.0,-0.2,0.1,1.1,0.3,0.5,0.0,0.1,0.2,0.0,0.0,-0.2,0.0,0.0,0.2,0.0,1.1,0.0,0.9,-0.2,3.0,1.5,0.0,0.3,1.1,0.4,0.0,0.0,0.0,0.1,0.7,,
197604,2.4,1.8,2.5,1.9,1.9,2.6,2.2,8.3,0.6,0.6,1.0,1.4,0.6,-1.0,14.8,22.4,-2.3,-2.4,0.0,0.4,0.0,0.4,0.0,1.8,1.3,1.4,1.4,1.5,1.4,0.9,0.0,-0.1,0.2,,1.6,2.3,1.1,0.5,0.2,0.2,9.8,1.2,1.3,1.5,1.2,1.7,2.8,0.6,0.7,0.9,1.4,7.0,0.1,0.0,11.0,0.4,1.4,0.0,0.0,16.5,23.7,0.0,8.9,2.3,0.0,4.5,-0.1,3.2,0.5,1.4,0.2,0.3,0.0,12.8,0.0,12.6,,
197605,0.4,0.7,0.3,0.7,0.7,0.9,-0.5,-3.0,0.4,0.2,1.2,2.0,0.3,-1.3,-8.0,-11.5,4.6,4.8,0.0,0.2,0.8,0.6,0.0,0.9,1.2,0.9,1.3,1.2,0.6,0.4,0.0,0.0,-0.1,,0.0,-0.8,0.4,0.7,0.4,0.3,2.5,3.7,5.9,0.5,7.4,4.0,6.3,1.2,0.6,0.5,0.6,0.1,0.0,0.0,0.1,0.3,0.4,0.2,0.0,0.4,0.6,0.0,0.0,-0.9,-0.1,-5.3,0.1,0.1,1.4,1.9,0.0,0.4,0.0,109.5,-0.1,0.7,,
197606,0.3,0.6,0.2,0.4,0.7,1.0,-0.8,-4.1,0.1,0.0,-0.7,-1.3,0.1,-1.0,-10.8,-16.3,9.5,9.8,1.0,0.2,0.0,0.4,0.0,0.3,1.3,0.9,1.4,1.2,0.7,0.6,0.0,0.8,0.8,,0.1,-0.1,0.9,-0.3,0.3,0.5,0.3,2.9,5.2,3.1,5.8,2.1,3.6,0.3,0.3,0.4,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.8,0.0,-1.1,0.2,2.0,0.6,2.2,0.2,0.1,0.0,0.0,0.3,0.1,,
